NAME	wt.LICL.5|wt.MOCK_TREATED.5_Expression	wt.LICL.10|wt.MOCK_TREATED.10_Expression	wt.LICL.20|wt.MOCK_TREATED.20_Expression	wt.LICL.40|wt.MOCK_TREATED.40_Expression	wt.LICL.5|wt.MOCK_TREATED.5_Intron	wt.LICL.10|wt.MOCK_TREATED.10_Intron	wt.LICL.20|wt.MOCK_TREATED.20_Intron	wt.LICL.40|wt.MOCK_TREATED.40_Intron	wt.LICL.5|wt.MOCK_TREATED.5_Junction	wt.LICL.10|wt.MOCK_TREATED.10_Junction	wt.LICL.20|wt.MOCK_TREATED.20_Junction	wt.LICL.40|wt.MOCK_TREATED.40_Junction
SRB2: transcription from RNA polymerase II promoter	-0.223478513319	-0.23262239881	-0.462479316298	-0.0173135045763	-0.24874768744	-0.208774181267	0.0105920086358	-0.0605746049208	0.0346861501971	-0.00916086043071	-0.226942437312	0
NHP6B: regulation of transcription from RNA polymerase II promoter*	0.376029867506	0.0267680210105	-0.165187640807	0.470763886542	0.324089695232	0.245550743328	0.64312663089	0.37269324568	0.342382714167	0.00937198140187	0.0897913116877	-0.0318676897808
NOG2: ribosome assembly*	-2.03102749284	-2.0	-2.0	-1.02645822763	-0.630372180126	-0.751911138968	-0.482620249231	-0.077157287252	-0.984255863362	-1.3854802946	-1.25083690021	-0.959590955649
APE2: peptide metabolism	0.108501264052	0.135122433447	0.259854001301	0.339531983818	0.604582948471	0.91086785974	1.3636915818	1.3021817935	0.35389685879	0.164406312574	0.671944881071	0.40956341293
AMA1: sporulation (sensu Fungi)*	-0.222722896192	-0.100027644798	-0.0281222611588	0.0159247013004	0.571869068452	0.143782677637	0.704797940984	0	-0.110728517095	-0.0588298145729	-0.114310232987	-0.0699288031469
TFC3: transcription initiation from RNA polymerase III promoter	0.317406871891	0.394717363648	-0.0248783562423	-0.21298975959	0.405038112009	0.197941336677	1.16259046472	-0.0199357371048	-0.119718343451	-0.0461573238463	0	0.0603515175575
YCR097W_2	-0.229298525537	-0.0453199472698	0.100721093965	-0.344705146894	0.101553726392	0.134284681008	0.665149312975	0.0210492098818	-0.267898363017	-0.0325057745693	-0.517619514369	0.153760911996
RPL19B: protein biosynthesis	0.311604848506	0.294157840477	0.0035048882689	-0.0245180925911	-1.76050585877	-1.58378220098	2.0	-0.358915232506	-0.123397805312	0.0745458521807	0.279805705796	-0.0403295418168
RPL36A: protein biosynthesis	-0.0119114366013	-0.284522794032	-0.492916810693	-0.561340985312	-0.665185060308	-0.811176162902	0.89769660389	-0.0135314832604	-0.026109306587	-0.261744506202	-0.603799938128	-0.879590790855
RPL37B: protein biosynthesis	0.150603200249	-0.050680004134	-0.379802966182	-0.830064406677	-0.988199405685	-1.11794559249	2.0	0.292580677272	0.16379690243	0.147498945785	-0.338835713643	-0.803889987892
UBC13: protein monoubiquitination*	-0.0101955335643	0.0241491260648	0.00169426593677	0.295350634441	-0.108572939587	-0.0435663890759	2.0	0.308109885756	-0.031820249762	0.0812441661998	-0.0294049734877	0.183115749562
RPL34B: protein biosynthesis*	0.303657868018	0.0164740562577	0.0040202610883	-0.126329550677	-0.362667531022	-0.168622475493	0.225028626947	-0.082451112339	-0.036174275194	-0.0571152588561	-0.0605465372431	0
SFT1: intra-Golgi transport	0.331773102866	0.102510800499	-0.592984863078	-0.48128258852	0.184324038913	0.107184106725	0.450294026266	0.477907289932	-0.177473645126	-0.0382460906086	0.89904219667	-0.445876642676
MOB1: protein amino acid phosphorylation*	0.134496060856	0.152087327865	-0.212671218223	-0.249916151737	0.226297761201	0.0220235086112	0.257736116039	0.292056598608	-0.0654537714756	0.0606383524362	0.0639781936624	0.23598528622
YGL076C_2	-0.0736489651947	-0.585608317924	-0.894200506564	-0.789242130878	-0.245981038113	-0.379322756085	0.17722752128	-0.0764766954683	0.0402724429277	-0.0683414706526	-0.146084636057	-0.244947144934
YPL198W_2	-0.290064818039	-0.810451172012	-2.0	-2.0	-0.76575770034	-0.723462381789	-0.117960521941	-0.043872107306	-0.0212790500345	-0.340056557623	0	-1.10798011265
IMD4: biological process unknown	-0.469892054523	-0.929143799623	-1.5105347927	-2.0	-0.922930320077	-0.788325668841	-0.411699757887	-0.0652357010411	-0.274184099426	-0.938089329548	-1.35752547944	-2.0
RPL33B: protein biosynthesis	0.00472088237422	-0.391869498336	-0.619473914212	-0.395759804376	-0.617874910273	-0.330166393246	-0.403900887286	-0.127672389146	-0.152760328911	-0.167236235697	-0.367631709639	-0.347356561001
RIM1: mitochondrial genome maintenance	0.578311217461	0.337612874003	0.348706461512	-0.035035509066	0.0205215315038	0.239863871956	0.276610207356	0.560995219145	0.467552247441	0.333202095721	0.350900339115	0.195101508805
RPL30: protein biosynthesis*	0.273909381502	-0.175372078885	-0.294561208093	-1.11248036448	-0.877760556145	-0.951418424351	-0.175242261542	0.423827109673	0.174137823695	-0.0155955668442	-0.0554145982816	-0.300659027697
RPL43B: protein biosynthesis	0.394612460887	-0.31827343188	-0.213852476393	-0.407851000919	-0.624989960553	-0.439484877052	-0.216530669605	0.296565921979	0.336901866727	0.00997820995709	-0.0326160757244	-0.13397170299
RPS24B: protein biosynthesis	-0.115719678401	-0.285161730905	-0.69222943304	-0.710486661644	-1.07366584137	-1.13027871406	-0.0180077950082	0.276913809947	0.0166669441619	-0.407806891779	-0.414697287495	-0.390722864034
RPL7A: protein biosynthesis	-0.0736489651947	-0.585608317924	-0.894200506564	-0.789242130878	-1.08808380754	-0.586058520315	0.488598665843	0.327363436283	0.180848420981	-0.193569657593	-0.234768078491	-0.231644932472
RBF20: biological process unknown	-0.0234568532715	-0.239607860801	-0.226471174174	-0.132573581151	-0.447851202295	-0.311352126453	0	0.413433882391	0.159995039569	-0.069743223288	-0.342968166434	-0.192057145453
YKL186C_4	-0.0742814887005	-0.220781938024	-0.102070264918	-0.0165401163736	-0.0491551321647	-0.175419743023	-0.647547662001	2.0	-0.104767170487	0.215248238069	0.126181930672	-0.215138938218
